gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022300996,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,114.7,115.6,115.9,121.6,-1.2,-6.0,0.857,2.5,23.7,0.238,0.8,0.529,13.233,13.3,0.567,0.614,1.0,0.197,91.52,89.0,74.17,90.0,0.512
0022300996,1610612748,Miami,Heat,MIA,heat,240:00,115.9,121.6,114.7,115.6,1.2,6.0,0.5,2.38,16.1,0.2,0.762,0.471,8.662,9.1,0.536,0.586,1.0,0.193,91.52,89.0,74.17,88.0,0.488
0022301197,1610612759,San Antonio,Spurs,SAS,spurs,240:00,124.0,123.0,91.5,94.1,32.5,28.9,0.673,2.36,22.9,0.273,0.724,0.529,14.119,14.0,0.621,0.633,1.0,0.198,101.48,100.5,83.75,100.0,0.659
0022301197,1610612765,Detroit,Pistons,DET,pistons,240:00,91.5,94.1,124.0,123.0,-32.5,-28.9,0.472,1.21,12.9,0.276,0.727,0.471,13.487,13.9,0.435,0.471,1.0,0.199,101.48,100.5,83.75,101.0,0.341
0022301044,1610612748,Miami,Heat,MIA,heat,240:00,96.1,98.9,119.7,121.5,-23.6,-22.6,0.649,2.67,18.4,0.291,0.756,0.49,9.402,9.7,0.446,0.471,1.0,0.199,95.06,93.0,77.5,93.0,0.396
0022301044,1610612744,Golden State,Warriors,GSW,warriors,240:00,119.7,121.5,96.1,98.9,23.6,22.6,0.66,2.58,23.4,0.244,0.709,0.51,12.712,12.9,0.629,0.632,1.0,0.195,95.06,93.0,77.5,93.0,0.604
0022301040,1610612743,Denver,Nuggets,DEN,nuggets,240:00,129.4,129.3,97.3,104.0,32.1,25.3,0.792,2.38,25.0,0.395,0.613,0.524,16.175,16.2,0.617,0.654,1.0,0.198,102.4,99.0,82.5,99.0,0.651
0022301040,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,97.3,104.0,129.4,129.3,-32.1,-25.3,0.676,1.47,16.9,0.387,0.605,0.476,16.056,17.2,0.452,0.486,1.0,0.192,102.4,99.0,82.5,99.0,0.349
0022301021,1610612737,Atlanta,Hawks,ATL,hawks,240:00,140.2,143.5,96.6,97.8,43.5,45.6,0.8,4.44,27.6,0.31,0.706,0.527,9.558,9.8,0.667,0.686,1.0,0.196,94.16,92.5,77.08,92.0,0.668
0022301021,1610612766,Charlotte,Hornets,CHA,hornets,240:00,96.6,97.8,140.2,143.5,-43.5,-45.6,0.714,1.67,19.2,0.294,0.69,0.473,15.93,16.1,0.482,0.505,1.0,0.196,94.16,92.5,77.08,93.0,0.332
0022301130,1610612743,Denver,Nuggets,DEN,nuggets,240:00,133.9,135.2,105.0,104.8,28.9,30.5,0.717,2.24,25.3,0.222,0.778,0.556,16.032,16.2,0.733,0.747,1.0,0.196,105.4,105.0,87.5,105.0,0.634
0022301130,1610612737,Atlanta,Hawks,ATL,hawks,240:00,105.0,104.8,133.9,135.2,-28.9,-30.5,0.811,1.88,20.6,0.222,0.778,0.444,15.273,15.2,0.494,0.551,1.0,0.199,105.4,105.0,87.5,105.0,0.366
0022301138,1610612756,Phoenix,Suns,PHX,suns,240:00,104.8,107.1,113.7,115.3,-8.9,-8.2,0.769,1.88,21.6,0.245,0.733,0.479,15.974,16.3,0.529,0.564,1.0,0.196,99.76,98.0,81.67,98.0,0.469
0022301138,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,113.7,115.3,104.8,107.1,8.9,8.2,0.65,1.86,19.5,0.267,0.755,0.521,14.09,14.3,0.565,0.605,1.0,0.197,99.76,98.0,81.67,98.0,0.531
0022300978,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,107.8,112.6,109.7,109.4,-1.9,3.3,0.524,1.83,15.4,0.429,0.809,0.591,12.092,12.6,0.465,0.49,1.0,0.198,97.46,95.5,79.58,95.0,0.464
0022300978,1610612743,Denver,Nuggets,DEN,nuggets,240:00,109.7,109.4,107.8,112.6,1.9,-3.3,0.703,3.25,20.4,0.191,0.571,0.409,8.361,8.3,0.512,0.56,1.0,0.199,97.46,95.5,79.58,96.0,0.536
0022301112,1610612752,New York,Knicks,NYK,knicks,240:00,124.0,127.7,110.9,114.7,13.1,12.9,0.773,2.62,24.3,0.275,0.702,0.506,13.435,13.8,0.625,0.647,1.0,0.193,97.52,94.5,78.75,94.0,0.586
0022301112,1610612758,Sacramento,Kings,SAC,kings,240:00,110.9,114.7,124.0,127.7,-13.1,-12.9,0.619,1.63,19.5,0.298,0.725,0.494,16.28,16.8,0.593,0.597,1.0,0.198,97.52,94.5,78.75,95.0,0.414
0022301146,1610612761,Toronto,Raptors,TOR,raptors,240:00,114.4,119.4,129.5,135.9,-15.1,-16.5,0.447,1.4,14.5,0.434,0.563,0.495,13.951,14.6,0.527,0.567,1.0,0.201,107.82,103.0,85.83,103.0,0.418
0022301146,1610612754,Indiana,Pacers,IND,pacers,240:00,129.5,135.9,114.4,119.4,15.1,16.5,0.611,2.36,21.1,0.438,0.566,0.505,12.949,13.6,0.626,0.641,1.0,0.197,107.82,103.0,85.83,103.0,0.582
0022301163,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,110.2,111.4,76.9,78.1,33.3,33.3,0.702,2.75,21.3,0.175,0.879,0.553,10.413,10.5,0.545,0.576,1.0,0.2,115.52,114.0,95.0,114.0,0.675
0022301163,1610612759,San Antonio,Spurs,SAS,spurs,240:00,76.9,78.1,110.2,111.4,-33.3,-33.3,0.75,1.6,16.7,0.121,0.825,0.447,12.953,13.2,0.38,0.425,1.0,0.2,115.52,114.0,95.0,114.0,0.325
0022301169,1610612757,Portland,Trail Blazers,POR,blazers,240:00,94.4,101.1,108.9,108.7,-14.6,-7.6,0.629,1.69,15.8,0.422,0.698,0.533,13.336,14.3,0.402,0.44,1.0,0.197,94.64,91.5,76.25,91.0,0.402
0022301169,1610612744,Golden State,Warriors,GSW,warriors,240:00,108.9,108.7,94.4,101.1,14.6,7.6,0.667,1.5,19.1,0.302,0.578,0.467,17.429,17.4,0.545,0.583,1.0,0.2,94.64,91.5,76.25,92.0,0.598
0022301155,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,114.8,118.8,133.7,132.7,-18.9,-13.9,0.705,3.88,21.3,0.264,0.861,0.506,7.651,7.9,0.521,0.563,1.0,0.196,102.4,101.0,84.17,101.0,0.443
0022301155,1610612744,Golden State,Warriors,GSW,warriors,240:00,133.7,132.7,114.8,118.8,18.9,13.9,0.787,2.47,26.2,0.139,0.736,0.494,14.964,14.9,0.75,0.751,1.0,0.2,102.4,101.0,84.17,101.0,0.557
0022301095,1610612764,Washington,Wizards,WAS,wizards,240:00,109.9,111.4,107.7,109.7,2.2,1.7,0.553,2.36,18.9,0.17,0.683,0.458,10.331,10.5,0.554,0.582,1.0,0.196,105.7,104.0,86.67,105.0,0.51
