GAME_DATE,team1,elo1_pre,elo2_pre
1946-12-19,PHW,1302.3259,1326.4893
1946-12-19,PRO,1262.4368,1347.2114
1946-12-19,STB,1309.9017,1226.2948
1946-12-19,CLR,1326.4893,1302.3259
1946-12-19,CHS,1347.2114,1262.4368
1946-12-20,TRH,1236.3962,1347.1748
1946-12-20,NYK,1347.1748,1236.3962
1946-12-21,PRO,1268.4114,1340.5975
1946-12-21,WSC,1421.2426,1311.8464
1946-12-21,NYK,1340.5975,1268.4114
1946-12-21,PHW,1311.8464,1421.2426
1946-12-22,CHS,1341.2368,1296.0708
1946-12-22,CLR,1316.9688,1224.4557
1946-12-22,STB,1315.0287,1221.1678
1946-12-22,DTF,1296.0708,1341.2368
1946-12-22,PIT,1224.4557,1316.9688
1946-12-22,BOS,1221.1678,1315.0287
1946-12-23,PIT,1235.696,1216.1962
1946-12-23,BOS,1216.1962,1235.696
1946-12-26,PHW,1307.2515,1242.0328
1946-12-26,PRO,1272.7605,1425.8375
1946-12-26,STB,1320.0004,1293.0409
1946-12-26,PIT,1242.0328,1307.2515
1946-12-26,WSC,1425.8375,1272.7605
1946-12-26,DTF,1293.0409,1320.0004
1946-12-27,BOS,1209.8594,1311.3928
1946-12-27,TRH,1242.9735,1344.2667
1946-12-27,PHW,1311.3928,1209.8594
1946-12-27,CHS,1344.2667,1242.9735
1946-12-28,PRO,1263.2903,1204.3003
1946-12-28,WSC,1435.3077,1336.2484
1946-12-28,BOS,1204.3003,1263.2903
1946-12-28,NYK,1336.2484,1435.3077
1946-12-29,CLR,1305.7284,1353.3029
1946-12-29,DTF,1289.309,1233.9374
1946-12-29,STB,1323.7323,1316.9519
1946-12-29,CHS,1353.3029,1305.7284
1946-12-29,TRH,1233.9374,1289.309
1946-12-29,PHW,1316.9519,1323.7323
1946-12-30,BOS,1198.3969,1442.3615
1946-12-30,PIT,1237.8915,1311.511
1946-12-30,WSC,1442.3615,1198.3969
1946-12-30,PHW,1311.511,1237.8915
1946-12-31,CLR,1294.8324,1329.1732
1946-12-31,TRH,1244.1897,1364.1989
1946-12-31,STB,1329.1732,1294.8324
1946-12-31,CHS,1364.1989,1244.1897
1947-01-01,CHS,1353.0458,1341.3654
1947-01-01,DTF,1279.0566,1448.0177
1947-01-01,PIT,1232.5814,1282.6403
1947-01-01,STB,1341.3654,1353.0458
1947-01-01,WSC,1448.0177,1279.0566
1947-01-01,CLR,1282.6403,1232.5814
1947-01-02,PHW,1316.821,1269.1937
1947-01-02,STB,1359.0022,1439.1101
1947-01-02,PRO,1269.1937,1316.821
1947-01-02,WSC,1439.1101,1359.0022
1947-01-03,TRH,1255.3428,1192.7406
1947-01-03,BOS,1192.7406,1255.3428
1947-01-04,DTF,1287.9642,1329.1947
1947-01-04,PRO,1262.9604,1323.0543
1947-01-04,WSC,1430.0768,1297.225
1947-01-04,NYK,1329.1947,1287.9642
1947-01-04,PHW,1323.0543,1262.9604
1947-01-04,CLR,1297.225,1430.0768
1947-01-05,STB,1368.0355,1343.4509
1947-01-05,NYK,1343.4509,1368.0355
1947-01-06,BOS,1204.3622,1292.7268
1947-01-06,PIT,1217.9967,1434.575
1947-01-06,TRH,1243.7212,1273.708
1947-01-06,CLR,1292.7268,1204.3622
1947-01-06,WSC,1434.575,1217.9967
1947-01-06,DTF,1273.708,1243.7212
1947-01-08,DTF,1263.4937,1335.4089
1947-01-08,NYK,1350.6637,1253.9355
1947-01-08,PIT,1210.0378,1317.6265
1947-01-08,WSC,1442.5338,1268.3883
1947-01-08,CHS,1335.4089,1263.4937
1947-01-08,TRH,1253.9355,1350.6637
1947-01-08,PHW,1317.6265,1210.0378
1947-01-08,PRO,1268.3883,1442.5338
1947-01-09,PHW,1311.1245,1275.9305
1947-01-09,PRO,1265.8407,1304.2137
1947-01-09,STB,1360.8228,1341.5894
1947-01-09,TRH,1275.9305,1311.1245
1947-01-09,CLR,1304.2137,1265.8407
1947-01-09,CHS,1341.5894,1360.8228
1947-01-10,BOS,1192.8752,1328.6687
1947-01-10,NYK,1328.6687,1192.8752
1947-01-11,DTF,1257.3132,1320.103
1947-01-11,PRO,1280.0374,1200.0544
1947-01-11,WSC,1445.0814,1266.952
1947-01-11,PHW,1320.103,1257.3132
1947-01-11,BOS,1200.0544,1280.0374
