gameId,HOME_WON,ELO,NB_WIN_L50,PCT_3PT_L50,PCT_LANCER_FRANC_L50,PCT_TIR_REUSSI_L50,PIE_L50,assistPercentage_L50,assistRatio_L50,assistToTurnover_L50,defensiveRating_L50,effectiveFieldGoalPercentage_L50,estimatedDefensiveRating_L50,estimatedNetRating_L50,estimatedOffensiveRating_L50,estimatedPace_L50,estimatedTeamTurnoverPercentage_L50,netRating_L50,offensiveRating_L50,pacePer40_L50,pace_L50,trueShootingPercentage_L50,turnoverRatio_L50
21701086,0,-60.931606999999985,1,-0.007940000000000114,0.03805999999999976,0.005180000000000018,-0.001040000000000041,-0.08128000000000013,-1.8840000000000003,-0.11120000000000041,3.3599999999999994,-0.0006599999999999939,3.4340000000000117,-1.0800000000000003,2.356000000000023,0.3338000000000392,-0.829559999999999,0.028000000000000025,3.3859999999999957,-0.03920000000002233,-0.04680000000001883,0.0043599999999999195,-0.7159999999999958
21701087,1,-313.97752200000014,22,0.02872000000000008,0.0129999999999999,0.06412000000000012,0.08729999999999999,0.05386000000000002,3.396000000000001,0.40680000000000005,-3.1599999999999966,0.06278000000000006,-3.8160000000000025,13.59,9.786000000000016,0.9495999999999896,-0.23008000000000095,11.542,8.370000000000005,1.0190000000000055,1.2226,0.057520000000000016,-0.42400000000000126
21701088,1,-29.697171000000026,0,0.012520000000000031,-0.028220000000000023,-0.012739999999999863,0.011819999999999942,0.12229999999999996,1.9499999999999993,-0.3555999999999999,-6.469999999999999,0.006059999999999954,-6.646000000000043,1.7460000000000009,-4.890000000000015,2.5148000000000224,4.692500000000001,0.6079999999999992,-5.868000000000009,2.2408000000000072,2.687999999999988,-0.000160000000000049,4.677999999999997
21701089,1,-109.71863399999984,-3,0.0026200000000001222,-0.033339999999999814,-0.007859999999999978,0.006779999999999842,-0.028259999999999952,-0.8859999999999957,-0.13959999999999995,-4.0660000000000025,-0.011140000000000039,-4.131999999999991,2.6759999999999997,-1.4440000000000026,-2.7361999999999966,0.14512000000000214,2.116000000000001,-1.9360000000000355,-2.1026000000000096,-2.5227999999999895,-0.01319999999999999,0.08599999999999852
21701090,1,-91.3323989999999,1,0.0012800000000000034,0.038919999999999955,0.011619999999999908,0.029179999999999928,0.02085999999999999,1.1239999999999988,0.1394000000000002,-2.6920000000000073,0.013959999999999972,-2.872000000000014,4.606000000000001,1.7280000000000086,-2.165399999999977,-0.425619999999995,4.010000000000002,1.3159999999999883,-1.6624000000000052,-1.995199999999997,0.011260000000000048,-0.5199999999999996
21701091,1,-227.855462,9,0.0037599999999999856,-0.006080000000000085,-0.02419999999999989,0.0007400000000000739,-0.07609999999999995,-2.91,-0.22260000000000013,-0.17600000000001614,0.008859999999999979,-0.38400000000000034,5.71,5.3359999999999985,-3.61099999999999,-1.0048999999999992,6.336000000000002,6.154000000000011,-3.3182000000000187,-3.9823999999999984,0.015599999999999947,-0.9299999999999979
21701092,0,204.936279,-11,-0.00544,0.06985999999999992,-0.024160000000000015,-0.042279999999999984,0.0038599999999999746,-0.8499999999999979,-0.18599999999999994,1.9300000000000068,-0.030360000000000054,2.255999999999986,-6.927999999999999,-4.660000000000025,-4.95620000000001,0.8101800000000008,-6.856,-4.934000000000012,-3.8400000000000034,-4.60860000000001,-0.018260000000000165,0.8520000000000003
21701093,0,62.528535999999804,-6,0.0032599999999999296,0.024939999999999962,0.005099999999999993,-0.00603999999999999,0.04939999999999989,1.7620000000000005,0.19079999999999986,-0.2259999999999991,0.014720000000000066,0.32200000000000273,-1.2959999999999996,-0.9539999999999651,-3.1717999999999904,0.0889599999999966,-1.4479999999999993,-1.6580000000000013,-2.175200000000004,-2.6111999999999966,0.005979999999999874,0.025999999999992696
21701094,0,186.68685499999992,-14,-0.018780000000000074,0.03945999999999994,-0.04170000000000007,-0.025739999999999985,0.02734000000000003,-0.7699999999999996,-0.2599999999999998,-1.399999999999963,-0.04059999999999986,-0.968000000000032,-5.699999999999999,-6.667999999999992,-0.8734000000000037,1.460560000000001,-4.706,-6.11999999999999,-0.7995999999999981,-0.9602000000000004,-0.03604000000000007,1.5859999999999985
21701095,1,87.13593900000001,-2,0.0023400000000000643,0.014560000000000017,0.019179999999999975,-0.025760000000000116,-0.0007799999999998919,0.16000000000000014,-0.17720000000000002,5.853999999999999,0.02281999999999984,4.942000000000007,-1.8500000000000008,3.093999999999994,1.1297999999999888,0.8790599999999973,-2.97,2.877999999999986,0.7069999999999936,0.8492000000000104,0.03078000000000003,0.8680000000000003
21701096,1,-29.03475800000001,2,-0.011459999999999915,0.04278000000000004,0.009119999999999906,-0.006440000000000001,-0.06817999999999991,-1.2860000000000014,-0.08739999999999948,-0.001999999999981128,-0.005199999999999982,0.4959999999999951,-0.2979999999999994,0.20999999999999375,0.07779999999999632,-0.5297000000000001,-0.3180000000000003,-0.32800000000000296,0.47119999999999607,0.5660000000000025,-0.0023999999999999577,-0.5920000000000005
21701097,0,-144.07725499999992,8,0.009160000000000001,0.046619999999999884,-0.014680000000000026,0.02843999999999991,0.024780000000000024,0.6859999999999999,0.36980000000000035,-3.268000000000015,-0.0025800000000000267,-3.373999999999981,5.924000000000001,2.5559999999999974,-2.3885999999999967,-1.4136399999999991,6.3679999999999986,3.1040000000000134,-2.215199999999996,-2.6580000000000013,-0.0009400000000000519,-1.379999999999999
21701098,0,-157.647874,13,0.016980000000000106,-0.008760000000000101,0.009759999999999991,0.029360000000000164,0.08546000000000009,2.1660000000000004,0.16600000000000037,-1.3220000000000027,0.023360000000000047,-2.0400000000000205,5.7,3.6599999999999966,-0.6588000000000278,0.4589999999999961,4.334,3.004000000000005,-0.47759999999999536,-0.5733999999999924,0.023780000000000023,0.3420000000000005
21701099,0,236.50004000000013,-14,-0.0021600000000000508,-0.034640000000000004,0.0024799999999999267,-0.05119999999999997,-0.021820000000000173,-0.24399999999999622,0.05579999999999985,6.812000000000012,-0.011239999999999917,7.268000000000001,-9.658,-2.382000000000005,-0.9350000000000023,-0.21202000000000254,-8.974,-2.1580000000000013,-0.6629999999999967,-0.7954000000000008,-0.018199999999999994,-0.17199999999999704
